key,chinese,translation
media.createFolder,作成するFolder,
media.modifiedAt,修改時刻,
series.name,シリーズ 名,
series.description,シリーズ 説明,
series.totalEpisodes,合計 s,
series.addEpisode,追加,
series.editEpisode,編集する,
series.deleteEpisode,削除 ,
roles.title,ロール・権限管理,
roles.rolesManagement,ロール管理,
roles.permissionsList,権限リスト,
roles.systemPermissions,システム権限,
roles.adminList,管理者リスト,
roles.createRole,作成するRole,
roles.editRole,編集するRole,
roles.deleteRole,削除 Role,
roles.roleName,Role 名,
roles.roleDescription,Role 説明,
roles.roleNamePlaceholder,"例: コンテンツ 編集or, モードrator",
roles.descriptionPlaceholder,简要説明そのロールの責任,
roles.permissionAssignment,権限割り当て,
roles.selectPermissions,権限を選択,
roles.atLeastOne,少なくとも選択1つ権限,
roles.permissionCount,{{count}}件の権限,
roles.created,作成d,
roles.inactive,非アクティブ,
roles.confirmDeleteRole,削除を確認,
roles.deleteRoleWarning,"削除してもよろしいですかロール""{{name}}""か？この操作は元に戻せません。",
roles.roleDeleted,削除しました,
roles.roleCreated,作成しました,
roles.roleUpdated,更新しました,
roles.deleteFailed,削除に失敗しました role,
roles.operationFailed,操作が失敗しました,
roles.assignRole,ロールを割り当て,
roles.assignRoleTo, {{username}} ロールを割り当て,
roles.currentRole,現在のロール,
roles.superadminNoAssign,超级管理者所有すべての権限，不要ロールを割り当て,
roles.roleAssignSuccess,ロール割り当て成功,
roles.roleAssignFailed,失敗しました assign role,
roles.selectRolePlaceholder,選択ロール（空白のまま表示キャンセル割り当て）,
roles.superadmin,超级管理者,
roles.lastLogin,最終ログイン,
roles.loading,読み込み...,
roles.searchRole,検索 roles...,
roles.searchPermission,検索 permissions...,
roles.searchAdmin,検索 admins...,
announcement.title,お知らせ管理,
announcement.priority,優先度,
announcement.startDate,開始日,
announcement.endDate,終了日,
announcement.addAnnouncement,追加Announcement,
announcement.editAnnouncement,編集するAnnouncement,
announcement.deleteAnnouncement,削除 Announcement,
system.permanent,永久,
system.timeRange,時間 範囲:,
system.ttlHint,"よく使用される: 1小时=3600, 1日=86400, 1周=604800",
oauth.title,OAuth ログイン設定,
oauth.googleGuide,Google OAuth 設定ガイド,
oauth.facebookGuide,Facebook OAuth 設定ガイド,
oauth.saveConfig,保存Configuration,
page.videosDesc,快速作成新の動画内容,
page.usersDesc,表示 and manage system users,
page.commentsDesc,レビュー用户送信の评论,
page.statistics,データ統計,
page.goHome,戻るホーム,
page.retry,再試行,
page.retryTranscode,再試行トランスコード,
action.add,追加,
action.edit,編集,
action.delete,削除,
action.remove,削除,
action.save,保存,
action.confirm,確認,
action.submit,送信,
action.refresh,更新,
action.retry,再試行,
action.start,開始,
action.complete,完了,
action.addIP,追加IP,
action.addActor,追加Actor,
action.addDirector,追加Director,
validation.required,{{field}}必須です,
validation.invalidEmail,入力してください有効のメールアドレス,
validation.invalidUrl,入力してください有効のURLアドレス（需するため http:// または https:// で始まる）,
validation.invalidIp,入力してください有効のIPアドレス,
validation.length,長さ应在 {{min}} まで {{max}}件の文字間,
validation.maxLength,超えることはできません {{max}}件の文字,
validation.minLength,少なくとも必要 {{min}}件の文字,
validation.numberRange,値应在 {{min}} まで {{max}} 間,
validation.numberMax,値超えることはできません {{max}},
validation.numberMin,値未満にすることはできません {{min}},
validation.fileTooBig,ファイルサイズ超える制限（最大 {{max}}MB）,
validation.videoTitleRequired,入力してください動画タイトル,
validation.videoTypeRequired,選択してください動画タイプ,
validation.statusRequired,選択してくださいステータス,
validation.imageRequired,アップロードまたは入力画像URL,
payment.plans.create,作成するPlan,
payment.plans.edit,編集するPlan,
payment.plans.totalPlans,合計 Plans,
payment.plans.name,Plan 名,
payment.plans.nameEn,名前 (English),
payment.plans.nameZh,名前 (Chinese),
payment.plans.descriptionEn,説明 (English),
payment.plans.descriptionZh,説明 (Chinese),
payment.plans.billingPeriod,請求期間,
payment.plans.monthly,別の月,
payment.plans.quarterly,別のシーズン,
payment.plans.yearly,別の年,
payment.plans.price,価格,
payment.plans.priceUsd,価格（USD）,
payment.plans.priceCny,価格（CNY）,
payment.plans.priceEur,価格（EUR）,
payment.plans.trialDays,Trial 日,
payment.plans.videoQuality,動画 Quality,
payment.plans.streams,同時再生,
payment.plans.devices,デバイス数,
payment.plans.adsFree,広告なし,
payment.plans.popular,人気,
payment.plans.features,機能特性,
payment.plans.featuresEn,機能（英語）,
payment.plans.featuresZh,機能（文）,
payment.plans.sortOrder,並び替え順序,
payment.plans.fetchError,失敗しました load subscription plans,
payment.plans.createSuccess,サブスクリプションプラン作成成功,
payment.plans.updateSuccess,サブスクリプションプラン更新しました,
payment.plans.deleteSuccess,サブスクリプションプラン削除成功,
payment.plans.deleteError,削除に失敗しました subscription plan,
payment.plans.activateSuccess,プランアクティブ化済み,
payment.plans.deactivateSuccess,プラン非アクティブ化済み,
payment.payments.title,支払い履歴,
payment.payments.amount,金額,
payment.payments.provider,支払い方法,
payment.payments.paidAt,支付時刻,
payment.payments.refund,返金,
payment.payments.refunded,返金済み,
payment.payments.confirmRefund,確定要返金か？,
payment.payments.refundSuccess,返金成功,
payment.payments.refundError,失敗しました refund payment,
payment.payments.fetchError,失敗しました load payments,
payment.payments.totalRevenue,合計 Revenue,
payment.payments.totalRefunded,合計 Refunded,
payment.payments.successRate,成功率,
payment.payments.avgTransaction,平均取引金額,
payment.payments.pending,保留中,
payment.payments.succeeded,成功,
payment.payments.failed,失敗,
payment.payments.fullyRefunded,全額返金済み,
payment.payments.partiallyRefunded,一部返金済み,
payment.payments.refundAgain,再度返金,
payment.coupons.create,作成するCoupon,
payment.coupons.edit,編集するCoupon,
payment.coupons.description,説明,
payment.coupons.discount,割引,
payment.coupons.fixedAmount,固定金額,
payment.coupons.discountValue,割引値,
payment.coupons.minPurchase,最低購入金額,
payment.coupons.usage,使用状況,
payment.coupons.usageLimit,使用制限,
payment.coupons.validity,有効期限,
payment.coupons.validDates,Valid 日付s,
payment.coupons.fetchError,失敗しました load coupons,
payment.coupons.createSuccess,クーポン作成成功,
payment.coupons.updateSuccess,クーポン更新しました,
payment.coupons.deleteSuccess,クーポン削除成功,
payment.coupons.deleteError,削除に失敗しました coupon,
payment.coupons.activateSuccess,クーポンアクティブ化済み,
payment.coupons.deactivateSuccess,クーポン非アクティブ化済み,
payment.subscriptions.title,サブスクリプション管理,
payment.subscriptions.period,期間,
payment.subscriptions.autoRenew,自動更新,
payment.subscriptions.trialing,試用,
payment.subscriptions.pastDue,期限切れ,
payment.subscriptions.expired,期限切れ,
payment.subscriptions.renew,更新,
payment.subscriptions.confirmCancel,確定要キャンセルこのサブスクリプションか？,
payment.subscriptions.cancelSuccess,サブスクリプションキャンセル成功,
payment.subscriptions.cancelError,失敗しました cancel subscription,
payment.subscriptions.renewSuccess,サブスクリプション更新成功,
payment.subscriptions.renewError,失敗しました renew subscription,
payment.subscriptions.fetchError,失敗しました load subscriptions,
payment.subscriptions.mrr,月次経常収益,
payment.subscriptions.churnRate,解約率,
payment.subscriptions.trialingSubscriptions,試用サブスクリプション数,
payment.subscriptions.totalSubscriptions,合計 Subscriptions,
payment.subscriptions.pastDueSubscriptions,期限切れサブスクリプション数,
payment.subscriptions.avgSubscriptionValue,平均サブスクリプション価値,
payment.refund.title,返金処理,
payment.refund.warning,返金操作は元に戻せません。慎重に進めてください。,
payment.refund.confirm,確認 Refund,
payment.refund.paymentInfo,Payment 情報,
payment.refund.totalAmount,合計 Amount,
payment.refund.alreadyRefunded,既に返金済み,
payment.refund.remainingAmount,返金可能金額,
payment.refund.fullRefund,全額返金,
payment.refund.partialRefund,一部返金,
payment.refund.refundAmount,返金金額,
payment.refund.amountRequired,返金金額を入力してください,
payment.refund.amountInvalid,返金金額は0.01から残額の間である必要があります,
payment.refund.enterAmount,返金金額を入力,
payment.refund.reason,返金理由,
payment.refund.reasonRequired,返金理由を選択してください,
payment.refund.selectReason,返金理由を選択,
payment.refund.reasonDetail,詳細説明,
payment.refund.reasonDetailRequired,詳細説明を入力してください,
payment.refund.reasonDetailTooLong,詳細説明は500文字を超えることはできません,
payment.refund.reasonDetailPlaceholder,返金の詳細説明を入力してください...,
payment.refund.adminNote,Admin いいえte (任意),
payment.refund.adminNotePlaceholder,内部メモ、ユーザーには表示されません...,
payment.refund.viewReason,表示 Reason,
payment.refund.reasons.serviceQuality,サービス品質の問題,
payment.refund.reasons.technicalIssue,技術の問題,
payment.refund.reasons.duplicatePayment,重複支払い,
payment.refund.reasons.fraud,Fraudulent 順序,
payment.refund.reasons.other,その他の理由,
